物业名称,区域,总建面积(_),物业类型,开盘日期,交房日期,项目现状,物业地址,单间面积最小值,单间面积最大值（平方米）,,单间价格范围,户型类别1,户型类别2,户型类别3,户型类别4,一居均价,二居均价,三居均价,本月均价,建筑面积范国,单间价格范围,每平方米价格范围,户型类别1,户型类别2,户型类别3,户型类别4
上海商城酒店式公寓,静安,140000,服务式公寓,2001/3/30 0:00,2002/12/30 16:29,交房,上海市静安区南京西路1376号,,,,,,,,,,,,,,,,,,,
骏豪国际(金富得商业广场),静安,73219,服务式公寓,2003/4/30 0:00,2004/5/15 0:00,交房,上海市静安区陕西北路288号,,,,,,,,,,,,,,,,,,,
静安广场酒店式服务公寓,静安,67000,服务式公寓,2005/3/28 0:00,2006/3/1 16:45,交房,上海市静安区常熟路8号,,,,,,,,,,,,,,,,,,,
绿地海悦酒店式公寓,闸北,56000,服务式公寓,2002/5/30 18:23,2003/9/30 18:23,交房,上海市闸北区新疆路450号,,,,,,,,,,,,,,,,,,,
丽都太平洋公寓酒店,静安,51049.4,服务式公寓,2004/8/20 0:00,2005/12/1 0:00,交房,上海市静安区新闸路831号,,,,,,,,,,,,,,,,,,,
协和城丽豪酒店公寓（南京西路公馆）,静安,48755.77,酒店式公寓,2004/5/25 0:00,2005/5/5 0:00,交房,上海市静安区南京西路2068号,,,,,,,,,,,,,,,,,,,
SOHO时代,闸北,45000,服务式公寓,2002/7/20 0:00,2003/8/31 0:00,交房,上海市闸北区恒通路360弄,,,,,,,,,,,,,,,,,,,
华侨城苏河湾行政公馆,闸北,40000,服务式公寓,2012/9/16 0:00,2013/6/30 0:00,主体结构,上海市闸北区曲阜路9弄50号、浙江北路55号,,,,,,,,,,,,,,,,,,,
御华山大厦,静安,40000,服务式公寓,2009/3/31 0:00,2010/3/31 0:00,内装修,上海市静安区华山路328号,,,,,,,,,,,,,,,,,,,
爱俪轩,静安,33358,酒店式公寓,2001/11/8 0:00,2002/6/30 0:00,交房,上海市静安区镇宁路98号,,,,,,,,,,,,,,,,,,,
御庭酒店式公寓,静安,30000,服务式公寓,2003/2/1 10:53,2004/5/31 10:53,交房,上海市静安区陕西北路1155弄,,,,,,,,,,,,,,,,,,,
