上海商城酒店式公寓,72,106,7200,16000,4,None,None,None,2室,4,None,0,None,0,None,0
骏豪国际(金富得商业广场),40,200,3900,12000,158,6592,7466,None,1室,149,2室,8,3室,1,None,0
静安广场酒店式服务公寓
绿地海悦酒店式公寓,35,80,3800,6800,76,4330,5971,None,1室,74,2室,2,None,0,None,0
丽都太平洋公寓酒店
协和城丽豪酒店公寓（南京西路公馆）,20,160,3588,19000,39,7005,9635,11158,1室,24,3室,8,2室,6,2户,1
SOHO时代
华侨城苏河湾行政公馆,49,328,5800,42000,26,7661,17364,21367,1室,10,2室,6,3室,6,4室,4
御华山大厦,48,48,2700,3000,3,None,None,None,1室,3,None,0,None,0,None,0
爱俪轩,55,130,5000,24500,24,None,None,None,1室,14,2室,10,None,0,None,0
御庭酒店式公寓,18,350,600,50000,243,None,None,None,2室,110,3室,97,4室,11,1室,11
广源大厦（天道大厦）
奔腾新干线,32,165,3200,8800,43,3494,5260,7902,1室,26,2室,13,3室,3,4室,1
美丽园公寓,45,350,5000,40000,13,6707,12650,13092,1室,6,3室,3,6室,2,2室,1
凤阳路601号酒店式公寓
静安紫苑酒店式公寓,46,110,6500,15000,12,7833,10573,None,1室,7,2室,5,None,0,None,0
中心铂庭,35,260,3500,19000,87,None,None,None,1室,82,2室,4,6室,1,None,0
蓝朝部落,20,67,2600,8500,99,4357,5405,None,1室,97,2室,2,None,0,None,0
欣安大厦西峰,150,200,9500,14000,4,None,8312,11621,2室,2,3室,2,None,0,None,0
世纪时空酒店式服务公寓,50,110,3800,11000,27,6348,7746,None,1室,25,2室,2,None,0,None,0
博苑公寓,44,59,3800,4500,10,4077,None,5069,1室,10,None,0,None,0,None,0
静安·香格里公寓式酒店,70,160,7000,13000,7,None,None,None,2室,4,1室,2,3室,1,None,0
永兴富邦商住楼（兴亚广场）,46,46,4200,4200,2,3364,5085,6477,1室,2,None,0,None,0,None,0
远雄悦来
静安艺庭,68,128,6000,12000,21,7832,8789,12852,2室,14,1室,7,None,0,None,0
赢+（和源大楼）,32,89,3150,6000,12,3809,None,None,1室,8,2室,2,0室,2,None,0
国际丽都公馆,25,120,3400,15000,5,6932,None,None,1室,4,2室,1,None,0,None,0
中铁中环时代广场,11,118,1100,18000,2,None,None,None,3室,1,2户,1,None,0,None,0
金赢国际公馆
五月花都荟贤居,25,163,390,12000,14,None,None,None,1室,7,2室,3,3室,2,5户,1
徐汇苑酒店式公寓,108,190,12000,22000,4,11362,10553,12827,3室,3,2室,1,None,0,None,0
嘉汇国际,40,40,3600,3600,1,None,None,None,1室,1,None,0,None,0,None,0
天之骄子,25,70,1900,3950,2,None,None,None,1室,1,2户,1,None,0,None,0
保利ONE56
